lat,lon,rate
-27.520994119937182,-51.37294136478802,1500.0
-27.522412824737092,-51.36888046183552,1500.0
-27.52247830342016,-51.36826517359301,3177.693996
-27.52247830342016,-51.368154421740385,3214.770107
-27.52247830342016,-51.368019058310665,3196.232051
-27.52247830342016,-51.36555790548719,1500.0
-27.520961380595644,-51.37300289818853,1500.0
-27.522423737850932,-51.368818939646665,1629.766386
-27.522423737850932,-51.36832670932622,3242.577189
-27.522423737850932,-51.36826518053617,3261.115245
-27.522423737850932,-51.3681544287385,3298.191355
-27.522423737850932,-51.36799445387214,3261.115245
-27.522423737850932,-51.36789600779584,3214.770107
-27.522423737850932,-51.36783447900579,3159.155941
-27.522423737850932,-51.36777295021575,3075.734693
-27.522423737850932,-51.36771142142569,2973.775389
-27.522423737850932,-51.36764989263563,2806.932892
-27.52240191162324,-51.36536102173112,1500.0
-27.520928641254113,-51.373064431527965,1500.0
-27.522369172281707,-51.36881894631502,1796.608883
-27.522369172281707,-51.36875741755548,2185.908043
-27.522369172281707,-51.36832671623883,3298.191355
-27.522369172281707,-51.36814213002134,3325.998438
-27.522369172281707,-51.36789601492219,3298.191355
-27.522369172281707,-51.367834486162664,3242.577189
-27.522369172281707,-51.36777295740315,3177.693996
-27.522369172281707,-51.36771142864363,3112.810803
-27.522369172281707,-51.367649899884114,2955.237334
-27.522303693598634,-51.36260454164001,1500.0
-27.52091772814026,-51.37312596479411,1500.0
-27.522314606712477,-51.36881895298334,1954.182353
-27.522314606712477,-51.368757424254355,2334.212484
-27.522314606712477,-51.36832672315144,3325.998438
-27.522314606712477,-51.36826519442245,3307.460383
-27.522161823118644,-51.368129831597265,3344.536493
-27.522314606712477,-51.36793293929812,3325.998438
-27.522314606712477,-51.36783449331953,3298.191355
-27.522314606712477,-51.36777296459054,3242.577189
-27.522314606712477,-51.36771143586155,3177.693996
-27.522314606712477,-51.36764990713256,3075.734693
-27.522096344435568,-51.36532412156761,1500.0
-27.522260041143248,-51.36934810647058,1500.0
-27.522260041143248,-51.36888048835012,1648.304442
-27.522260041143248,-51.36881895965165,2065.410684
-27.522260041143248,-51.3687574309532,2436.171788
-27.522260041143248,-51.368326730064005,3307.460383
-27.522150910004797,-51.36826520142662,3344.536493
-27.522172736232488,-51.367957557922125,3344.536493
-27.522260041143248,-51.36787141770765,3325.998438
-27.522260041143248,-51.3677729717779,3261.115245
-27.522260041143248,-51.36771144307945,3214.770107
-27.520852249457192,-51.37318750249966,1500.0
-27.522205475574026,-51.36906508099164,1500.0
-27.522205475574026,-51.36888049498788,1731.72569
-27.522205475574026,-51.36881896631995,2139.562905
-27.522205475574026,-51.36875743765203,2501.054981
-27.522118170663266,-51.368388265693326,3307.460383
-27.52213999689095,-51.36832673701319,3344.536493
-27.522161823118644,-51.36789603632553,3344.536493
-27.522205475574026,-51.36783450763318,3325.998438
-27.522205475574026,-51.36777297896525,3298.191355
-27.520819510115654,-51.37324903562531,1500.0
-27.522150910004797,-51.369680373911706,1500.0
-27.522150910004797,-51.36888050162562,1787.339856
-27.522150910004797,-51.36881897298823,2204.446098
-27.522150910004797,-51.36783451478997,3307.460383
-27.520786770774123,-51.37331056868989,1500.0
-27.52174712479252,-51.368942037065594,1500.0
-27.522096344435568,-51.36888050826334,1768.8018
-27.522096344435568,-51.36881897965649,2185.908043
-27.520754031432585,-51.373372101693384,1500.0
-27.522041778866345,-51.36888051490105,1731.72569
-27.522041778866345,-51.36881898632472,2121.024849
-27.521998126410967,-51.365434914651175,1500.0
-27.52165981988175,-51.36900357881351,1500.0
-27.521987213297116,-51.368880521538735,1629.766386
-27.521987213297116,-51.36881899299293,2019.065546
-27.52196538706942,-51.3683267646388,3307.460383
-27.52150703628792,-51.36696083202128,1500.0
-27.521256034669477,-51.3734336386844,1500.0
-27.52193264772789,-51.3688805281764,1518.538055
-27.52193264772789,-51.368818999661144,1898.568187
-27.52193264772789,-51.36844982856957,3224.039134
-27.52193264772789,-51.36838830005429,3279.6533
-27.5219108215002,-51.36826524303599,3307.460383
-27.521517949401765,-51.36671472540395,1500.0
-27.52124512155563,-51.37349517152298,1500.0
-27.521463383832536,-51.36971732268266,1500.0
-27.521637993654064,-51.36888053494839,1500.0
-27.52187808215866,-51.36881900632932,1750.263745
-27.52187808215866,-51.36844983542094,3196.232051
-27.52187808215866,-51.36838830693621,3261.115245
-27.52187808215866,-51.368326778451475,3279.6533
-27.52187808215866,-51.36815449871866,3307.460383
-27.521441557604845,-51.36709620900111,1500.0
-27.521550688743297,-51.366468618982005,1500.0
-27.521834429703283,-51.362764603492906,1500.0
-27.521234208441786,-51.3735567043005,1500.0
-27.521408818263307,-51.369618883134095,1500.0
-27.52182351658944,-51.368819012997484,1564.883193
-27.52182351658944,-51.368449842272284,3122.079831
-27.52182351658944,-51.368388313818095,3196.232051
-27.52182351658944,-51.36832678536389,3261.115245
-27.52182351658944,-51.36821603417077,3279.6533
-27.521517949401765,-51.36627173534782,1500.0
-27.521376078921776,-51.36953274983201,1500.0
-27.52174712479252,-51.36881901967784,1500.0
-27.52176895102021,-51.36851137754729,2927.430251
-27.52176895102021,-51.36844984912362,3038.658582
-27.52176895102021,-51.36838832069996,3122.079831
-27.52176895102021,-51.3683267922763,3196.232051
-27.52176895102021,-51.36826526385262,3224.039134
-27.52176895102021,-51.36820373542896,3261.115245
-27.52150703628792,-51.36609946396239,1500.0
-27.52170347233714,-51.36543495640059,1500.0
-27.52116872975871,-51.37361824130359,1500.0
-27.521299687124856,-51.36940969938412,1500.0
-27.521496123174074,-51.36906514002842,1500.0
-27.52171438545098,-51.368511384368084,2769.856782
-27.52171438545098,-51.36844985597494,2927.430251
-27.52171438545098,-51.368388327581805,3038.658582
-27.52171438545098,-51.36832679918867,3112.810803
-27.52171438545098,-51.36826527079553,3159.155941
-27.521539775629453,-51.36587796945942,1500.0
-27.521670732995595,-51.36549649312887,1500.0
-27.52171438545098,-51.36534882497315,1500.0
-27.52171438545098,-51.364893514876165,1500.0
-27.52169255922329,-51.362789243818725,1500.0
-27.521157816644866,-51.3736797739284,1500.0
-27.521441557604845,-51.369237426392694,1500.0
-27.521659819881755,-51.36851139118885,2603.014285
-27.521659819881755,-51.36844986282624,2788.394837
-27.521659819881755,-51.36838833446363,2927.430251
-27.521659819881755,-51.368326806101024,3010.851499
-27.521616167426373,-51.36566878097089,1500.0
-27.521659819881755,-51.36537344469607,1500.0
-27.521659819881755,-51.364819689432636,1500.0
-27.521605254312526,-51.36851139800958,2408.364705
-27.521605254312526,-51.36844986967751,2603.014285
-27.521605254312526,-51.36838834134544,2760.587754
-27.52109233796179,-51.3737413107177,1500.0
-27.521485210060224,-51.368819046374654,1500.0
-27.521550688743297,-51.368511404830315,2222.984153
-27.521550688743297,-51.36844987652876,2417.633733
-27.521550688743297,-51.36838834822722,2593.745257
-27.521081424847942,-51.373802843189836,1500.0
-27.521496123174067,-51.36851141165101,2000.527491
-27.521496123174067,-51.36844988338,2222.984153
-27.52123420844178,-51.367157789835346,1500.0
-27.521474296946376,-51.365718028183835,1500.0
-27.521496123174067,-51.36561958291359,1500.0
-27.521496123174067,-51.36358915021454,1500.0
-27.521441557604845,-51.3685114184717,1787.339856
-27.521441557604845,-51.36844989023122,2037.603601
-27.521441557604845,-51.3635399368487,1500.0
-27.52101594616488,-51.37386437976532,1500.0
-27.52116872975871,-51.36721933300561,1500.0
-27.521365165807925,-51.36574265585698,1500.0
-27.521386992035616,-51.363503029198114,1500.0
-27.52100503305103,-51.37392591208476,1500.0
-27.521332426466394,-51.36345381592382,1500.0
-27.521277860897165,-51.363416908352555,1500.0
-27.520939554367953,-51.373987448446485,1500.0
-27.521223295327935,-51.365902653548275,1500.0
-27.521223295327935,-51.36340461205303,1500.0
-27.52090681502642,-51.37404898062543,1500.0
-27.52116872975871,-51.36592727288629,1500.0
-27.52116872975871,-51.36336770454278,1500.0
-27.520874075684883,-51.37411051274332,1500.0
-27.52102685927872,-51.36728089829843,1500.0
-27.521114164189488,-51.36334310264395,1500.0
-27.521015946164873,-51.36928671941422,1500.0
-27.52105959862026,-51.369188274510336,1500.0
-27.520808597001814,-51.37417204879963,1500.0
-27.520961380595644,-51.36737935796691,1500.0
-27.520983206823338,-51.36651796599527,1500.0
-27.52100503305103,-51.366419521164666,1500.0
-27.520775857660272,-51.37423358076482,1500.0
-27.52092864125411,-51.367723922079236,1500.0
-27.52074311831874,-51.37429511266896,1500.0
-27.520895901912574,-51.37023426886226,1500.0
-27.520895901912574,-51.37017274092709,1518.538055
-27.520895901912574,-51.37006199066822,1546.345138
-27.520895901912574,-51.36992662918642,1518.538055
-27.520895901912574,-51.369840490089395,1500.0
-27.52074311831874,-51.3693113499202,1500.0
-27.520895901912574,-51.36654259275208,1500.0
-27.520841336343345,-51.37035733063717,1500.0
-27.520841336343345,-51.37029580273253,1546.345138
-27.520841336343345,-51.370234274827894,1583.421248
-27.520841336343345,-51.37017274692325,1601.959304
-27.520841336343345,-51.37006199671932,1629.766386
-27.520841336343345,-51.36990202415505,1601.959304
-27.520841336343345,-51.36980357949542,1546.345138
-27.520819510115654,-51.366764101042875,1500.0
-27.520841336343345,-51.366665656358805,1500.0
-27.520655813407974,-51.374356648432084,1500.0
-27.520786770774116,-51.370357336541716,1583.421248
-27.520786770774116,-51.370295808667606,1601.959304
-27.520786770774116,-51.3702342807935,1629.766386
-27.520786770774116,-51.37014814178197,1648.304442
-27.520764944546425,-51.37000047493293,1685.380552
-27.520786770774116,-51.36986511354884,1648.304442
-27.520786770774116,-51.36980358567473,1620.497359
-27.520786770774116,-51.36974205780062,1601.959304
-27.520786770774116,-51.36968052992652,1546.345138
-27.520557595383366,-51.37441818022016,1500.0
-27.520732205204894,-51.37048039813341,1500.0
-27.520732205204894,-51.370418870289825,1546.345138
-27.520732205204894,-51.370357342446255,1601.959304
-27.520732205204894,-51.370271203477444,1648.304442
-27.520732205204894,-51.37014814779029,1685.380552
-27.520732205204894,-51.369840508572395,1685.380552
-27.520732205204894,-51.36974206401046,1648.304442
-27.520732205204894,-51.36968053616688,1629.766386
-27.520732205204894,-51.3696190083233,1564.883193
-27.520732205204894,-51.36955748047973,1518.538055
-27.520732205204894,-51.369495952636136,1500.0
-27.520732205204894,-51.36692408879897,1500.0
-27.520219288854157,-51.374479712081495,1500.0
-27.520677639635664,-51.37048040397686,1537.07611
-27.520655813407974,-51.37041887617603,1601.959304
-27.520677639635664,-51.37035734835077,1629.766386
-27.520677639635664,-51.37029582053772,1648.304442
-27.520677639635664,-51.37020968161166,1685.380552
-27.520503029814137,-51.36998818211971,1703.918607
-27.520677639635664,-51.369742070220276,1685.380552
-27.520677639635664,-51.36968054240723,1648.304442
-27.520677639635664,-51.36961901459417,1629.766386
-27.520677639635664,-51.369557486781126,1564.883193
-27.520677639635664,-51.36949595896808,1518.538055
-27.520623074066442,-51.37048040982031,1546.345138
-27.520601247838748,-51.37035735426748,1648.304442
-27.5204702904726,-51.370295826558234,1685.380552
-27.520623074066442,-51.37023429869023,1685.380552
-27.52049211670029,-51.37017277098098,1703.918607
-27.52049211670029,-51.36974207650335,1703.918607
-27.520601247838748,-51.36968054865978,1685.380552
-27.520623074066442,-51.369619020865045,1648.304442
-27.520623074066442,-51.369557493082525,1629.766386
-27.520623074066442,-51.369495965300004,1564.883193
-27.520623074066442,-51.369434437517484,1518.538055
